university,city,state,city_population_density,city_population
"University of California, Santa Cruz",Santa Cruz,CA,5060,64465
University of Texas - Dallas,Richardson,TX,3969,113347
University of Delaware,Newark,DE,3311,31155
Georgia State University,Atlanta,GA,3549,472522
University of Connecticut,Storrs,CT,2882,16107
Kansas State University,Manhattan,KS,2931,54983
Oklahoma State University,Stillwater,OK,1806,50299
University of Vermont,Burlington,VT,4387,44781
Louisiana State University,Baton Rouge,LA,2627,222185
"University of California, Riverside",Riverside,CA,3904,317261
Auburn University,Auburn,AL,1087,63118
University at Buffalo SUNY,Buffalo,NY,6362,256902
Indiana University–Purdue University Indianapolis,Indianapolis,IN,2492,882039
Clemson University,Clemson,SC,2299,17986
University of Oregon,Eugene,OR,3810,166575
University of Hawaiʻi at Mānoa,Honolulu,HI,5791,345510
Iowa State University,Ames,IA,2734,66191
The University of Alabama,Tuscaloosa,AL,1653,99543
University of Houston,Houston,TX,3842,2303482
University of Oklahoma,Norman,NE,3141,36
Texas Tech University,Lubbock,TX,2063,252506
Washington State University,Pullman,WA,32827,32827
University of Nebraska - Lincoln,Lincoln,NE,3146,280364
George Mason University,Fairfax,VA,4097,24276
University of Mississippi,Oxford,MS,1004,26430
University of New Mexico,Albuquerque,NM,3036,562599
University of Central Florida,Orlando,FL,2707,277173
Oregon State University,Corvallis,OR,4042,57110
University of South Carolina,Columbia,SC,1015,137541
University of South Florida,Tampa,FL,3326,377165
Florida International University,Miami,FL,12645,453579
Florida State University,Tallahassee,FL,1904,190894
University of Kentucky,Lexington,KY,1123,318449
SUNY Stony Brook University,Stony Brook,NY,2310,11785
The University of Georgia,Athens,GA,1115,127358
"University of Missouri, Columbia",Columbia,MO,1912,120612
Wayne State University,Detroit,MI,4849,672795
University of Cincinnati,Cincinnati,OH,3834,298800
Temple University,Philadelphia,PA,11692,1567872
Virginia Commonwealth University,Richmond,VA,3731,223170
Virginia Polytechnic Institute and State University,Blacksburg,VA,2300,44949
University of Iowa,Iowa City,IA,2975,74398
Colorado State University,Fort Collins,CO,3060,168538
University of Utah,Salt Lake City,UT,1744,193744
University of Kansas,Lawrence,KS,2841,95358
University of Colorado Denver,Denver,CO,4530,693060
City University of New York,New York City,NY,28210,8468000
Missouri University of Science and Technology,Rolla,MO,1644,20129
Indiana State University,Terre Haute,IN,1762,60852
Colorado School of Mines,Golden,CO,2147,19871
Michigan Technological University,Houghton,MI,1902,7622
New Jersey Institute of Technology,Newark,NJ,11648,281764
University of Montana Missoula,Missoula,MT,2171,74822
Rutgers University--Newark,Newark,NJ,11648,281764
College of William and Mary,Williamsburg,VA,1756,15590
University at Albany SUNY,Albany,NY,4649,98617
University of Maryland - Baltimore,Baltimore,MD,7594,614664
University of Massachusetts Boston,Boston,MA,13943,673184
"University of Missouri, Kansas City",Kansas City,MO,1644,508394
Binghamton University SUNY,Binghamton,NY,4589,47566
University of New Hampshire,Durham,NH,727,16574
University of Wyoming,Laramie,WY,1719,31659
University of Rhode Island,Kingston,RI,5137,6407
University of Texas El Paso,El Paso,TX,2660,678415
University of South Alabama (USA),Mobile,AL,1330,184952
Utah State University,Logan,UT,2825,50676
Miami University,Oxford,OH,3000,22625
Portland State University,Portland,OR,4795,639863
Mississippi State University,Starkville,MS,955,24657
Florida Atlantic University - Boca Raton,Boca Raton,FL,3428,95787
Western Michigan University,Kalamazoo,MI,3079,75984
Northern Arizona University,Flagstaff,AZ,1119,71459
Ohio University,Athens,OH,2427,24311
University of Texas at San Antonio,San Antonio,TX,3002,1452000
Kent State University,Kent,KY,110,628594
San Diego State University,San Diego,CA,4326,1406630
Georgia Institute of Technology,Atlanta,GA,3549,472522
University of North Carolina at Charlotte,Charlotte,NC,2829,842051
University of Wisconsin Milwaukee,Milwaukee,WI,5965,569330
University of Arkansas Fayetteville,Fayetteville,AR,1814,95230
University of North Texas,Denton,TX,1521,133808
The University of Texas at Arlington,Arlington,TX,4096,392772
"University of California, Santa Barbara",Santa Barbara,CA,4722,91930
West Virginia University,Morgantown,WV,3053,29219
"The University of Tennessee, Knoxville",Knoxville,TN,1890,186239
University of Massachusetts Amherst,Amherst,MA,1422,37819
North Carolina State University,Raleigh,NC,3211,458880
Purdue University,West Lafayette,IN,3281,44672
University of Virginia,Charlottesville,VA,4542,45672
University of Illinois at Urbana-Champaign,Champaign,IL,3863,86637
University of California - Irvine,Irvine,CA,4025,266122
University of Washington,Seattle,WA,8391,704352
University of Illinois at Chicago,Chicago,IL,11883,2704958
Arizona State University,Tempe,AZ,4570,182498
University of Texas - Austin,Austin,TX,3182,947890
University of Colorado Boulder,Boulder,CO,4383,108090
Michigan State University,East Lansing,MI,3542,46854
Texas A&M University,College Station,TX,2268,112141
University of California - Davis,Davis,CA,6887,68111
University of California - Berkeley,Berkeley,CA,11580,121240
University of Maryland - College Park,College Park,MD,"6,191",35110
Indiana University - Bloomington,Bloomington,IN,3647,84465
Pennsylvania State University - University Park,University Park,PA,15306,12764
University of California - Los Angeles,Los Angeles,CA,8484,3976322
University of California - San Diego,La Jolla,CA,3500,46781
University of North Carolina at Chapel Hill,Chapel Hill,NC,2805,59246
University of Pittsburgh,Pittsburgh,PA,5461,300431
Rutgers University - New Brunswick,New Brunswick,NJ,10881,56910
University of Minnesota - Twin Cities,Minneapolis,MN,7664,413651
University of Wisconsin - Madison,Madison,WI,3289,252551
The University of Arizona,Tucson,AZ,2299,543242
University of Florida,Gainesville,FL,2147,131591
The Ohio State University,Columbus,OH,3960,860090
University of Michigan - Ann Arbor,Ann Arbor,MI,4340,120782
Arkansas State University,Jonesboro,AK,980,79324
Bellevue College,Bellevue,WA,4423,141400
Bergen Community College,Paramus,NJ,2563,26416
Broward College,Fort Lauderdale,FL,5141,178752
Bunker Hill Community College,Boston,MA,13943,673184
Central Piedmont Community College,Charlotte,NC,2829,842051
Citrus College,Glendora,CA,2674,51851
City College of San Francisco,San Francisco,CA,18581,870887
Collin County Community College District,McKinney,TX,2770,172298
CUNY Borough of Manhattan Community College,New York,NY,28211,8537673
