Year,Enrolled_International_Students,Optional Practical Training (OPT),Total_International_Students,Annual%Change,Total U.S. Enrollment*,%International
1979/80,283503,2840,286343,8.5,11570000,2.5
1980/81,308432,3450,311882,8.9,12097000,2.6
1981/82,323419,2880,326299,4.6,12372000,2.6
1982/83,333365,3620,336985,3.3,12426000,2.7
1983/84,335494,3400,338894,0.6,12465000,2.7
1984/85,337803,4310,342113,0.9,12242000,2.8
1985/86,339627,4150,343777,0.5,12247000,2.8
1986/87,344879,4730,349609,1.7,12504000,2.8
1987/88,351387,4800,356187,1.9,12767000,2.8
1988/89 ,359334,7020,366354,2.9,13055000,2.8
1989/90,379139,7712,386851,5.6,13539000,2.9
1990/91,398759,8770,407529,5.3,13819000,2.9
1991/92,411355,8230,419585,3,14359000,2.9
1992/93,427608,11010,438618,4.5,14487000,3
1993/94,438319,11430,449749,2.5,14305000,3.1
1994/95,439427,13208,452635,0.6,14279000,3.2
1995/96,438337,15450,453787,0.3,14262000,3.2
1996/97,439859,18125,457984,0.9,14368000,3.2
1997/98,464698,16582,481280,5.1,14502000,3.3
1998/99,474091,16842,490933,2,14507000,3.4
1999/00,489866,24857,514723,4.8,14791000,3.5
2000/01,526809,21058,547867,6.4,15312000,3.6
2001/02,560251,22745,582996,6.4,15928000,3.7
2002/03,558530,27793,586323,0.6,16612000,3.5
2003/04,543169,29340,572509,-2.4,16911000,3.4
2004/05,532040,32999,565039,-1.3,17272000,3.3
2005/06,526670,38096,564766,-0.5,17487000,3.2
2006/07,541324,41660,582984,3.2,17672000,3.3
2007/08,567039,56766,623805,7,18248000,3.4
2008/09,605015,66601,671616,7.7,19103000,3.5
2009/10,623119,67804,690923,2.9,20428000,3.4
2010/11,647246,76031,723277,4.7,20550000,3.5
2011/12,679338,85157,764495,5.7,20625000,3.7
2012/13,724725,94919,819644,7.2,21253000,3.9
2013/14,780055,105997,886052,8.1,21216000,4.2
2014/15,854639,120287,974926,10,20300000,4.8
2015/16,896341,147498,1043839,7.1,20264000,5.2
2016/17,903127,175695,1078822,3.4,20185000,5.3
2017/18,891330,203462,1094792,1.5,19831000,5.5
2018/19,872214,223085,1095299,0.05,19828000,5.5
2019/20,851957,223539,1075496,-1.8,19720000,5.5
2020/21,710210,203885,914095,-15,19744000,4.6
2021/22,763760,184759,948519,3.8,20327000,4.7
