,College Name,Tuition,Enrollment Numbers
0,Princeton University,56010,4773
1,Columbia University,63530,6170
2,Harvard University,55587,5222
3,Massachusetts Institute of Technology,55878,4361
4,Yale University,59950,4703
5,Stanford University,56169,6366
6,University of Chicago,60963,6989
7,University of Pennsylvania,61710,9872
8,California Institute of Technology,58680,901
9,Duke University,60489,6717
10,Johns Hopkins University,58720,6331
11,Northwestern University,60984,8194
12,Dartmouth College,60870,4170
13,Brown University,62404,6792
14,Vanderbilt University,56966,7057
15,Washington University in St. Louis,58866,7653
16,Cornell University,61015,14743
17,Rice University,52895,4076
18,University of Notre Dame,58843,8874
19,University of California--Los Angeles,43022,31636
20,Emory University,55468,7010
21,University of California--Berkeley,44115,30980
22,Georgetown University,59957,7357
23,University of Michigan--Ann Arbor,53232,31329
24,Carnegie Mellon University,58924,7073
25,University of Virginia,53666,17311
26,University of Southern California,60275,19606
27,New York University,56500,27444
28,Tufts University,63000,6114
29,University of California--Santa Barbara,44196,23196
30,University of Florida,28658,34931
31,University of North Carolina--Chapel Hill,36776,19399
32,Wake Forest University,59770,5441
33,University of California--San Diego,44487,31842
34,University of Rochester,59344,6521
35,Boston College,61706,9445
36,University of California--Irvine,43709,29638
37,Georgia Institute of Technology,33794,16561
38,University of California--Davis,44408,31162
39,University of Texas at Austin,40032,40048
40,William & Mary,46467,6236
41,Boston University,59816,16872
42,Brandeis University,60391,3493
43,Case Western Reserve University,54020,5433
44,Tulane University,60814,7700
45,University of Wisconsin--Madison,38608,33585
46,University of Illinois--Urbana-Champaign,34316,33683
47,University of Georgia,31120,29765
48,Lehigh University,57470,5203
49,Northeastern University,57592,15156
50,Ohio State University--Columbus,35019,46984
51,Pepperdine University,59702,3459
52,Purdue University--West Lafayette,28794,34920
53,Villanova University,59900,7037
54,Florida State University,21683,32543
55,Rensselaer Polytechnic Institute,58526,6283
56,Santa Clara University,55860,5608
57,University of Miami,54760,11334
58,Syracuse University,57591,14479
59,University of Maryland--College Park,38636,30875
60,University of Pittsburgh--Pittsburgh Campus,34124,19197
61,University of Washington,39906,35582
62,George Washington University,59870,11762
63,Pennsylvania State University--University Park,36476,39809
64,Rutgers University--New Brunswick,33005,35844
65,University of Connecticut,41192,18917
66,Worcester Polytechnic Institute,55531,4892
67,Fordham University,55776,9399
68,Indiana University--Bloomington,38354,32986
69,SMU,60236,6827
70,Texas A&M University,40087,55568
71,University of Massachusetts--Amherst,36964,24233
72,University of Minnesota--Twin Cities,33843,36061
73,Yeshiva University,47500,2017
74,Baylor University,50232,14399
75,Clemson University,37712,20868
76,Loyola Marymount University,53051,6673
77,Virginia Tech,33253,30020
78,American University,51334,7953
79,Brigham Young University--Provo,6120,33365
80,Gonzaga University,48470,4852
81,North Carolina State University,29916,26150
82,Binghamton University--SUNY,27909,14333
83,Colorado School of Mines,39800,5216
84,Elon University,38725,6291
85,Howard University,28916,7857
86,Marquette University,45766,8024
87,Michigan State University,39766,38491
88,Stevens Institute of Technology,56920,3670
89,Texas Christian University,51660,9704
90,University of California--Riverside,43496,22687
91,University of Iowa,31569,22304
92,Stony Brook University--SUNY,28080,18010
93,University at Buffalo--SUNY,28194,22306
94,University of California--Merced,43319,8276
95,University of Delaware,36880,18420
96,University of Denver,54819,5699
97,University of San Diego,52864,5529
98,Auburn University,31956,24505
99,University of Colorado Boulder,38312,30300
100,University of Oregon,39308,18045
101,University of Utah,31389,24643
102,Clark University,50302,2241
103,Creighton University,44524,4458
104,Drexel University,57136,14552
105,Loyola University Chicago,47498,11612
106,Miami University--Oxford,37379,16522
107,New Jersey Institute of Technology,33386,9084
108,Saint Louis University,48824,7357
109,Temple University,34801,27306
110,University of Arizona,34667,36503
111,University of California--Santa Cruz,43820,17207
112,University of Illinois--Chicago,31787,21921
113,University of San Francisco,53472,5852
114,University of South Florida,17324,38579
115,University of Tennessee,31434,24254
116,Arizona State University,29438,63124
117,Rochester Institute of Technology,52756,13412
118,SUNY College of Environmental Science and Forestry,19976,1731
119,University of South Carolina,33928,27270
120,University of Vermont,43890,11136
121,Chapman University,57214,7404
122,Illinois Institute of Technology,50640,3123
123,Iowa State University of Science and Technology,24504,26846
124,University of Kansas,28034,19135
125,University of Missouri,30450,23396
126,Clarkson University,54370,2905
127,DePaul University,42012,14145
128,Gallaudet University,17112,1019
129,Rutgers University--Newark,32409,9118
130,Seattle University,49335,4299
131,Seton Hall University,46880,5913
132,University of Dayton,44890,8644
133,University of Kentucky,31608,22227
134,University of Oklahoma,25116,21383
135,The Catholic University of America,52156,3055
136,Drake University,45962,2848
137,The New School,52979,6430
138,Samford University,35360,3576
139,Simmons University,43112,1744
140,University of La Verne,45850,2484
141,University of Nebraska--Lincoln,27002,20286
142,University of New Hampshire,37202,11747
143,University of St. Thomas (MN),48609,6333
144,University of Texas at Dallas,39776,21187
145,University of the Pacific,52352,3524
146,University of Tulsa,44838,2929
147,Colorado State University,31540,25186
148,CUNY--City College,19010,12587
149,Duquesne University,43526,5383
150,George Mason University,36579,27105
151,Michigan Technological University,38112,5642
152,Quinnipiac University,51270,6841
153,Rutgers University--Camden,32299,5502
154,San Diego State University,20016,31086
155,Thomas Jefferson University,41715,3783
156,University of Alabama,31090,31670
157,University of Alabama at Birmingham,25380,13878
158,University of Central Florida,22467,61456
159,University of Cincinnati,27472,28657
160,University of Mississippi,25876,16179
161,Belmont University,38430,6626
162,Florida International University,18964,48664
163,Hofstra University,51360,6120
164,Kansas State University,26342,16257
165,Mercer University,38746,4911
166,Oregon State University,32288,26644
167,University of Arkansas,26390,22825
168,University of Hawaii--Manoa,34218,13203
169,University of Maryland--Baltimore County,28470,10932
