SCHOOL,LOCATION,INTERNATIONAL,Type
,,,
,,,
The New School,"New York, NY",30%,National
University of Rochester,"Rochester, NY",25%,National
New York University,"New York, NY",24%,National
Boston University,"Boston, MA",22%,National
Carnegie Mellon University,"Pittsburgh, PA",22%,National
Cardinal Stritch University,"Milwaukee, WI",21%,National
Brandeis University,"Waltham, MA",20%,National
Florida Institute of Technology,"Melbourne, FL",19%,National
Andrews University,"Berrien Springs, MI",18%,National
Emory University,"Atlanta, GA",17%,National
"University of California, Davis","Davis, CA",16%,National
"University of California, San Diego","La Jolla, CA",16%,National
University of Chicago,"Chicago, IL",16%,National
Illinois Institute of Technology,"Chicago, IL",15%,National
Northeastern University,"Boston, MA",15%,National
Oral Roberts University,"Tulsa, OK",15%,National
Rensselaer Polytechnic Institute,"Troy, NY",15%,National
Suffolk University,"Boston, MA",15%,National
"University of California, Irvine","Irvine, CA",15%,National
Georgetown University,"Washington, DC",14%,National
Johns Hopkins University,"Baltimore, MD",14%,National
Marymount University,"Arlington, VA",14%,National
Saint Leo University,"Saint Leo, FL",14%,National
University of Washington,"Seattle, WA",14%,National
Case Western Reserve University,"Cleveland, OH",13%,National
Syracuse University,"Syracuse, NY",13%,National
University at Buffalo--SUNY,"Buffalo, NY",13%,National
"University of California, Berkeley","Berkeley, CA",13%,National
University of Illinois Urbana-Champaign,"Champaign, IL",13%,National
University of Pennsylvania,"Philadelphia, PA",13%,National
Dartmouth College,"Hanover, NH",12%,National
Harvard University,"Cambridge, MA",12%,National
Princeton University,"Princeton, NJ",12%,National
Rice University,"Houston, TX",12%,National
University of Southern California,"Los Angeles, CA",12%,National
Brown University,"Providence, RI",11%,National
Georgia Institute of Technology,"Atlanta, GA",11%,National
Purdue University--West Lafayette,"West Lafayette, IN",11%,National
Stanford University,"Stanford, CA",11%,National
St. Thomas University,"Miami Gardens, FL",11%,National
Tufts University,"Medford, MA",11%,National
"University of California, Santa Barbara","Santa Barbara, CA",11%,National
University of Miami,"Coral Gables, FL",11%,National
University of San Francisco,"San Francisco, CA",11%,National
American University,"Washington, DC",10%,National
Cornell University,"Ithaca, NY",10%,National
Gannon University,"Erie, PA",10%,National
Loyola Marymount University,"Los Angeles, CA",10%,National
Massachusetts Institute of Technology,"Cambridge, MA",10%,National
Northwestern University,"Evanston, IL",10%,National
The Pennsylvania State University,"University Park, PA",10%,National
Stony Brook University--SUNY,"Stony Brook, NY",10%,National
Trevecca Nazarene University,"Nashville, TN",10%,National
"University of California, Los Angeles","Los Angeles, CA",10%,National
University of Wisconsin--Madison,"Madison, WI",10%,National
Vanderbilt University,"Nashville, TN",10%,National
Yale University,"New Haven, CT",10%,National
Drexel University,"Philadelphia, PA",9%,National
Duke University,"Durham, NC",9%,National
George Washington University,"Washington, DC",9%,National
Pepperdine University,"Malibu, CA",9%,National
Rutgers University--New Brunswick,"Piscataway, NJ",9%,National
Seattle University,"Seattle, WA",9%,National
University of Colorado Denver,"Denver, CO",9%,National
University of Oregon,"Eugene, OR",9%,National
Wake Forest University,"Winston-Salem, NC",9%,National
Yeshiva University,"New York, NY",9%,National
California Institute of Technology,"Pasadena, CA",8%,National
Clark University,"Worcester, MA",8%,National
