name,city,state,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
A T Still University of Health Sciences,Kirksville,MO,25,18,2,7,33
Aaniiih Nakoda College,Harlem,MT,33,9,1,1,43
Abilene Christian University,Abilene,TX,17,14,2,4,12
Abraham Baldwin Agricultural College,Tifton,GA,23,10,1,2,32
Abraham Lincoln University,Glendale,CA,31,6,3,6,12
Academy College,Bloomington,MN,28,6,3,2,13
Academy for Five Element Acupuncture,Gainesville,FL,26,18,2,7,12
Academy for Jewish Religion-California,Los Angeles,CA,24,18,2,7,11
Academy for Nursing and Health Occupations,West Palm Beach,FL,10,2,2,1,21
Academy of Art University,San Francisco,CA,18,12,3,5,11
Academy of Chinese Culture and Health Sciences,Oakland,CA,26,18,2,7,11
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,26,18,2,7,12
Acupuncture and Massage College,Miami,FL,26,9,3,6,13
Adams State University,Alamosa,CO,18,10,1,5,33
Adelphi University,Garden City,NY,17,12,2,5,21
Adler Graduate School,Minnetonka,MN,26,18,2,7,13
Adler University,Chicago,IL,26,18,2,7,11
Adrian College,Adrian,MI,22,11,2,3,32
Advance Science International College,Miami Lakes,FL,10,1,3,1,21
Advanced College,South Gate,CA,10,1,3,1,21
Advanced Technology Institute,Virginia Beach,VA,11,1,3,1,11
AdventHealth University,Orlando,FL,26,9,2,5,11
Agnes Scott College,Decatur,GA,21,11,2,3,21
AI Miami International University of Art and Design,Miami,FL,22,6,3,3,11
Aiken Technical College,Graniteville,SC,4,2,1,1,41
Aims Community College,Greeley,CO,3,3,1,1,12
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,16,18,1,7,21
Air University,Montgomery,AL,18,15,1,3,32
Alabama A & M University,Normal,AL,18,14,1,4,12
Alabama College of Osteopathic Medicine,Dothan,AL,25,18,2,7,41
Alabama State University,Montgomery,AL,17,14,1,3,12
Alamance Community College,Graham,NC,6,3,1,1,41
Alaska Bible College,Palmer,AK,24,7,2,2,32
Alaska Career College,Anchorage,AK,13,1,3,1,11
Alaska Christian College,Soldotna,AK,1,1,2,1,41
Alaska Pacific University,Anchorage,AK,22,7,2,5,11
Albany College of Pharmacy and Health Sciences,Albany,NY,26,11,2,5,13
Albany Law School,Albany,NY,31,18,2,7,13
Albany Medical College,Albany,NY,25,18,2,7,13
Albany State University,Albany,GA,19,13,1,3,13
Albany Technical College,Albany,GA,8,2,1,1,13
Albert Einstein College of Medicine,Bronx,NY,27,18,2,7,11
Albertus Magnus College,New Haven,CT,19,10,2,4,12
Albion College,Albion,MI,21,11,2,2,31
Albizu University-Miami,Miami,FL,17,6,2,6,13
Albizu University-San Juan,San Juan,PR,26,9,2,6,11
Albright College,Reading,PA,21,11,2,3,13
Alcorn State University,Alcorn State,MS,20,11,1,4,43
Alderson Broaddus University,Philippi,WV,22,8,2,4,32
Alexandria Technical & Community College,Alexandria,MN,9,2,1,1,33
Alfred University,Alfred,NY,18,11,2,4,33
Alhambra Medical University,Alhambra,CA,26,18,3,6,21
Alice Lloyd College,Pippa Passes,KY,22,8,2,2,43
Allan Hancock College,Santa Maria,CA,2,4,1,1,12
Allegany College of Maryland,Cumberland,MD,7,2,1,1,13
Allegheny College,Meadville,PA,21,11,2,2,32
Allegheny Wesleyan College,Salem,OH,24,8,2,2,41
Allen College,Waterloo,IA,26,6,2,5,13
Allen County Community College,Iola,KS,3,2,1,1,33
Allen University,Columbia,SC,21,8,2,3,12
Alliant International University-San Diego,San Diego,CA,17,9,3,6,11
Alma College,Alma,MI,22,11,2,2,32
Alpena Community College,Alpena,MI,14,6,1,2,41
Alvernia University,Reading,PA,17,11,2,4,13
Alverno College,Milwaukee,WI,18,9,2,5,11
Alvin Community College,Alvin,TX,9,3,1,1,21
Amarillo College,Amarillo,TX,4,4,1,1,12
Amberton University,Garland,TX,18,6,2,6,21
Ambria College of Nursing,Hoffman Estates,IL,26,6,3,2,13
America Evangelical University,Los Angeles,CA,24,6,2,6,11
American Academy McAllister Institute of Funeral Service,New York,NY,12,1,2,1,11
American Academy of Acupuncture and Oriental Medicine,Roseville,MN,26,18,3,7,21
American Academy of Art,Chicago,IL,30,6,2,2,11
American Academy of Dramatic Arts-New York,New York,NY,12,1,2,1,11
American Baptist College,Nashville,TN,22,8,2,2,11
American Business and Technology University,St Joseph,MO,22,6,3,3,13
American Career College-Anaheim,Anaheim,CA,10,2,3,1,11
American Career College-Los Angeles,Los Angeles,CA,10,2,3,1,11
American Career College-Ontario,Ontario,CA,10,2,3,1,12
American College of Acupuncture and Oriental Med,Houston,TX,26,18,3,7,11
American College of Education,Indianapolis,IN,32,12,3,6,11
American College of Financial Services,King of Prussia,PA,29,18,2,3,21
American College of Healthcare Sciences,Portland,OR,26,6,3,5,11
American College of the Building Arts,Charleston,SC,32,6,2,2,12
American Conservatory Theater,San Francisco,CA,30,18,2,6,11
American Film Institute Conservatory,Los Angeles,CA,30,18,2,7,11
American Institute of Alternative Medicine,Columbus,OH,26,9,3,3,11
American InterContinental University,Chandler,AZ,18,15,3,4,41
American InterContinental University-Atlanta,Atlanta,GA,19,9,3,3,12
American InterContinental University-Houston,Houston,TX,20,6,3,4,11
American International College,Springfield,MA,17,11,2,5,12
American Jewish University,Los Angeles,CA,21,8,2,6,11
American Medical Academy,Miami,FL,10,1,3,1,21
American Medical Sciences Center,Glendale,CA,10,1,3,1,12
American Musical and Dramatic Academy,New York,NY,30,11,2,3,11
American National University,Salem,VA,23,6,3,4,22
American National University-Pikeville,Pikeville,KY,26,6,3,2,41
American Public University System,Charles Town,WV,18,15,3,4,31
American River College,Sacramento,CA,5,5,1,1,21
American Samoa Community College,Pago Pago,AS,14,6,1,2,33
American Trade School,Saint Ann,MO,11,1,3,1,21
American University,Washington,DC,16,17,2,5,11
