university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
"University of California, Santa Cruz",13,0.06,2130,NA,NA,101-150,301-400,public,NA,National,NA,NA,NA,L,18,Very High,0,40.6,29.5,29.9,38.7,0,NA,NA,Santa Cruz,CA,5060,64465
University of Texas - Dallas,29,NA,8475,NA,NA,NA,401-500,public,NA,NA,NA,NA,NA,L,22,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Richardson,TX,3969,113347
University of Delaware,NA,0.05,2337,36880,very competitive plus,201-300,NA,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,17,Very High,16.1,9.6,10.4,33.3,19,10.2,18420,NA,Newark,DE,3311,31155
Georgia State University,133,NA,1756,30114,NA,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,24,Very High,NA,NA,NA,NA,NA,NA,28772,36360,Atlanta,GA,3549,472522
University of Connecticut,NA,0.08,3765,41192,highly competitive,301-400,301-400,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,19,Very High,0,0,12.5,37.8,14.5,11.4,18917,NA,Storrs,CT,2882,16107
Kansas State University,19,NA,1481,26342,NA,401-500,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,14,Very High,0,0,12.3,31.4,17.7,0,16257,NA,Manhattan,KS,2931,54983
Oklahoma State University,NA,NA,1617,24539,NA,401-500,801-1000,public,NA,NA,NA,NA,NA,L,14,Medium High,0,9.6,4.9,30.2,16.6,0,20307,NA,Stillwater,OK,1806,50299
University of Vermont,NA,NA,546,43890,NA,301-400,601-800,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,8,Medium High,0,9.6,10.3,27.7,15.7,13.4,11136,NA,Burlington,VT,4387,44781
Louisiana State University,77,NA,1315,NA,NA,NA,801-1000,public,NA,NA,NA,NA,NA,XL,21,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Baton Rouge,LA,2627,222185
"University of California, Riverside",81,NA,2034,NA,NA,151-200,401-500,public,NA,NA,NA,NA,NA,L,17,Very High,0,27.1,16.7,35.5,25.7,12.4,NA,NA,Riverside,CA,3904,317261
Auburn University,58,NA,2283,31956,NA,NA,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,18,Very High,NA,NA,NA,NA,NA,NA,24505,30737,Auburn,AL,1087,63118
University at Buffalo SUNY,40,0.13,6161,28194,NA,NA,301-400,public,NA,National,NA,NA,NA,L,19,Very High,NA,NA,NA,NA,NA,NA,22306,NA,Buffalo,NY,6362,256902
Indiana University-Purdue University Indianapolis,361,NA,1104,NA,NA,NA,801-1000,public,NA,NA,NA,NA,NA,L,15,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,Indianapolis,IN,2492,882039
Clemson University,NA,NA,1418,37712,highly competitive,NA,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,L,15,Very High,NA,NA,NA,NA,NA,NA,20868,NA,Clemson,SC,2299,17986
University of Oregon,44,0.09,1740,39308,NA,301-400,601-800,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,13,Very High,0,9.6,11.6,28.4,18.2,8.8,18045,NA,Eugene,OR,3810,166575
University of Hawaiʻi at Mānoa,NA,NA,1586,NA,NA,NA,301-400,public,NA,NA,NA,NA,NA,L,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Honolulu,HI,5791,345510
Iowa State University,24,NA,2441,NA,NA,201-300,401-500,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,17,Very High,0,23.5,9.1,42,20.6,0,NA,31822,Ames,IA,2734,66191
The University of Alabama,60,NA,1283,NA,NA,NA,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,20,Very High,NA,NA,NA,NA,NA,NA,NA,37840,Tuscaloosa,AL,1653,99543
University of Houston,600,NA,3049,27110,NA,201-300,601-800,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,22,Very High,0,13.5,12,40.1,21.5,0,39165,47090,Houston,TX,3842,2303482
University of Oklahoma,179,NA,1418,25116,NA,NA,601-800,public,NA,NA,NA,NA,NA,L,14,Very High,NA,NA,NA,NA,NA,NA,21383,NA,Norman,NE,3141,36
Texas Tech University,122,NA,2196,24092,NA,401-500,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,19,Medium High,0,9.6,7,34.4,16.4,0,33269,40322,Lubbock,TX,2063,252506
Washington State University,NA,NA,1731,27733,NA,301-400,401-500,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,14,Very High,0,9.6,8.5,33.1,18.2,0,25470,31159,Pullman,WA,32827,32827
University of Nebraska - Lincoln,89,0.05,2805,NA,NA,201-300,501-600,public,NA,National,NA,NA,NA,L,12,Very High,0,19.2,12.3,37.4,21,16.8,NA,NA,Lincoln,NE,3146,280364
George Mason University,NA,0.05,2737,36579,NA,201-300,801-1000,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,15,Very High,31.5,0,6.1,29.5,19.4,0,27105,38541,Fairfax,VA,4097,24276
University of Mississippi,NA,NA,628,25876,NA,NA,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,10,Very High,NA,NA,NA,NA,NA,NA,16179,NA,Oxford,MS,1004,26430
University of New Mexico,188,NA,870,24924,NA,NA,601-800,public,NA,NA,NA,NA,NA,L,9,Very High,NA,NA,NA,NA,NA,NA,16124,NA,Albuquerque,NM,3036,562599
University of Central Florida,102,NA,2562,22467,very competitive plus,301-400,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,XL,25,Very High,0,9.6,10.5,33,18,0,61456,71881,Orlando,FL,2707,277173
Oregon State University,14,NA,2769,32288,NA,151-200,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,12,Very High,0,19.2,21.9,38.8,23.8,10.2,26644,32312,Corvallis,OR,4042,57110
University of South Carolina,132,NA,1532,33928,NA,NA,601-800,public,NA,NA,NA,NA,NA,XL,15,Very High,NA,NA,NA,NA,NA,NA,27270,NA,Columbia,SC,1015,137541
University of South Florida,113,0.07,5974,17324,very competitive plus,201-300,501-600,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,18,Very High,0,16.6,9.5,39.2,18.2,0,38579,50626,Tampa,FL,3326,377165
Florida International University,36,0.07,3575,18964,NA,401-500,801-1000,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,XL,16,Medium High,0,9.6,6.6,32.1,17.3,0,48664,58836,Miami,FL,12645,453579
Florida State University,100,NA,1618,21683,NA,201-300,401-500,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,17,Very High,0,13.5,15.3,39.3,20.2,0,32543,43569,Tallahassee,FL,1904,190894
