university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Case Western Reserve University,NA,101-150,101,47-58,15.8,19.2,32.5,10.7,40.5,24.7,44,54020,5433,Cleveland,OH,0.13,National,NA,NA,NA,M,Private,Cleveland,48.2,161,Very High,1639,7,2864,OH,1,NA,NA,NA,NA,Cleveland,OH,15,17,2,6,11
University of Hawaii at Manoa,NA,201-300,201,70-95,20.8,19.2,0,0,35.9,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honolulu,HI,15,16,1,4,11
"University of Maryland, Baltimore",NA,201-300,201,70-95,12.4,16.6,0,0,38.8,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltimore,MD,27,13,1,6,11
University of Oregon,NA,301-400,301,96-117,11.6,9.6,8.8,0,28.4,18.2,101,39308,18045,Eugene,OR,0.09,National,NA,NA,NA,L,Public,Eugene,NA,651-700,Very High,1.583,13,1.74,NA,NA,NA,NA,NA,NA,Eugene,OR,15,16,1,4,12
Rice University,27.9,70,70,34,19.7,35.8,16.1,21.4,32.4,38.6,18,52895,4076,Houston,TX,0.12,National,NA,NA,NA,M,Private,Houston,62.3,94,Very High,996,7,2278,TX,1,NA,NA,NA,NA,Houston,TX,15,14,2,5,11
Northwestern University,39.9,25,25,18,33.3,48.8,15.2,27.6,62.2,31.7,12,60984,8194,Evanston,IL,0.1,National,NA,NA,NA,L,Private,Evanston,82.8,30,Very High,3652,5,3846,IL,1,NA,NA,NA,NA,Evanston,IL,15,16,2,6,13
Michigan State University,NA,101-150,101,47-58,22,21.4,8.8,0,54.8,19.3,88,39766,38491,East Lansing,MI,0.06,National,East Lansing,MI,5280,XL,Public,East Lansing,49.7,157,Very High,3008,15,5795,NA,NA,MI,Public,4-year,49695,East Lansing,MI,15,16,1,4,13
Virginia Polytechnic Institute and State University,NA,201-300,201,70-95,12.2,9.6,11.4,0,43.9,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,Public,Blacksburg,31.6,346,Very High,2.8019999999999996,12,4.477,VA,3,VA,Public,4-year,37024,Blacksburg,VA,15,16,1,4,13
The University of Texas at Dallas,NA,301-400,301,96-117,10.4,9.6,13.4,0,29.3,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,3,TX,Public,4-year,28669,Richardson,TX,15,16,1,4,12
Brigham Young University,NA,401-500,401,118-139,8.3,9.6,8.8,0,27.5,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,Private,Provo,NA,1001-1200,Very High,1512,21,1163,NA,NA,UT,PrivNp,4-year,36461,Provo,UT,16,15,2,3,12
Iowa State University,NA,201-300,201,70-95,9.1,23.5,0,0,42,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,Public,Ames,24.1,494,Very High,1.6560000000000001,17,2.441,NA,NA,IA,Public,4-year,31822,Ames,IA,15,16,1,4,13
University of Connecticut,NA,301-400,301,96-117,12.5,0,11.4,0,37.8,14.5,66,41192,18917,Storrs,CT,0.08,National,NA,NA,NA,L,Public,Storrs,29.6,373,Very High,1.328,19,3.765,CT,3,NA,NA,NA,NA,Storrs,CT,15,17,1,5,21
Yeshiva University,NA,301-400,301,96-117,23.6,0,0,0,32.2,22.6,74,47500,2017,New York,NY,0.09,National,NA,NA,NA,S,Private,New York City,38.4,252,Very High,471,10,467,NA,NA,NA,NA,NA,NA,New York,NY,17,14,2,5,11
Temple University,NA,301-400,301,96-117,11,9.6,0,0,37.3,13.3,110,34801,27306,NA,NA,NA,NA,NA,NA,NA,XL,Public,Philadelphia,NA,751-800,Very High,2.7670000000000003,12,2.097,NA,NA,PA,Public,4-year,37236,Philadelphia,PA,15,15,1,4,11
Brown University,NA,101-150,101,47-58,20.5,9.6,14.4,19.7,46.1,33,14,62404,6792,Providence,RI,0.11,National,NA,NA,NA,M,Private,Providence,71.3,60,Very High,1389,7,2002,RI,1,NA,NA,NA,NA,Providence,RI,15,14,2,5,12
University of Kentucky,NA,301-400,301,96-117,12.1,0,10.2,0,41.8,17.7,134,31608,22227,NA,NA,NA,NA,NA,NA,NA,L,Public,Lexington,NA,651-700,Very High,2.239,12,1.294,NA,NA,KY,Public,4-year,29986,Lexington,KY,15,16,1,4,11
University of Miami,NA,201-300,201,70-95,13.6,16.6,0,0,42,20.7,58,54760,11334,Coral Gables,FL,0.11,National,NA,NA,NA,L,Private,Miami,33.7,311,Very High,2565,6,2646,FL,1,NA,NA,NA,NA,Coral Gables,FL,15,16,2,5,13
Rush University,NA,401-500,401,118-139,3.6,16.6,0,0,26.9,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicago,IL,25,9,2,6,11
University of South Florida,NA,201-300,201,70-95,9.5,16.6,0,0,39.2,18.2,115,17324,38579,Tampa,FL,0.07,National,Tampa,FL,5974,XL,Public,Tampa,NA,581-590,Very High,2.171,18,5.211,FL,4,FL,Public,4-year,50626,Tampa,FL,15,15,1,4,11
Washington State University,NA,301-400,301,96-117,8.5,9.6,0,0,33.1,18.2,186,27733,25470,NA,NA,NA,NA,NA,NA,NA,L,Public,Pullman,27,427,Very High,1.9349999999999998,14,1.7309999999999999,NA,NA,WA,Public,4-year,31159,Pullman,WA,15,16,1,4,32
Stony Brook University,NA,301-400,301,96-117,21,0,0,0,38.7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,3,NA,NA,NA,NA,Stony Brook,NY,15,17,1,5,21
The University of Texas Health Science Center at San Antonio,NA,301-400,301,96-117,7.7,21.4,0,0,24.4,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Antonio,TX,27,12,1,6,11
