university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
"University of California, Berkeley",68.3,5,5,4,67.8,61.3,65.6,78.4,65.1,58.2,NA,NA,NA,Berkeley,CA,0.13,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,Public,4-year,42327,NA,NA,NA,NA,NA,NA,NA
"University of California, San Francisco",41.9,21,21,17,50.9,35.8,0,39.4,63.2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Case Western Reserve University,NA,101-150,101,47-58,15.8,19.2,32.5,10.7,40.5,24.7,44,54020,5433,Cleveland,OH,0.13,National,NA,NA,NA,M,Private,Cleveland,48.2,161,Very High,1639,7,2864,OH,1,NA,NA,NA,NA,Cleveland,OH,15,17,2,6,11
University of Hawaii at Manoa,NA,201-300,201,70-95,20.8,19.2,0,0,35.9,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honolulu,HI,15,16,1,4,11
"University of Maryland, Baltimore",NA,201-300,201,70-95,12.4,16.6,0,0,38.8,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltimore,MD,27,13,1,6,11
City University of New York City College,NA,401-500,401,118-139,10.4,0,30.9,0,16.5,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayo Medical School,27.3,81,81,39,13.8,50.7,0,0,51.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The University of Georgia,NA,201-300,201,70-95,17.6,13.5,0,0,44.8,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,Public,Athens,NA,541-550,Very High,2406,15,1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Oregon,NA,301-400,301,96-117,11.6,9.6,8.8,0,28.4,18.2,101,39308,18045,Eugene,OR,0.09,National,NA,NA,NA,L,Public,Eugene,NA,651-700,Very High,1583,13,1740,NA,NA,NA,NA,NA,NA,Eugene,OR,15,16,1,4,12
University of New Hampshire - Durham,NA,401-500,401,118-139,11.5,13.5,0,0,23.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
