university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
University of Denver,Denver,CO,NA,NA,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,54819,5699,NA,M,4,NA,751-800,Very High,1000,10,4,NA,NA,NA,15,16,2,5,11
"University of California, Santa Cruz",Santa Cruz,CA,0.06,NA,2130,NA,101-150,101,47-58,29.5,40.6,0,0,29.9,38.7,NA,NA,NA,National,L,1,31.4,347,Very High,1045,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston College,Newton,MA,NA,NA,1471,NA,301-400,301,96-117,16.8,13.5,0,0,23.5,17.8,36,61706,9445,NA,L,4,24.1,494,Very High,1048,13,1,NA,NA,NA,15,17,2,5,13
The New School,New York,NY,0.3,NA,3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,52979,6430,National,M,4,NA,561-570,Very High,1087,9,2,NA,NA,NA,16,13,2,5,11
American University,Washington,DC,0.1,NA,1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,51334,7953,National,M,4,NA,651-700,High,1091,11,2,NA,NA,NA,16,17,2,5,11
Howard University,Washington D.C.,DC,NA,NA,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,28916,7857,NA,M,4,NA,651-700,High,1111,8,NA,NA,NA,NA,16,17,2,5,11
Fordham University,New York,NY,0.07,NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,55776,9399,National,L,4,NA,801-1000,High,1123,13,3,NA,NA,NA,16,17,2,5,11
University of Texas - Dallas,Richardson,TX,NA,8475,4828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,24.8,477,Very High,1140,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Delaware,Newark,DE,0.05,NA,2337,NA,201-300,201,70-95,10.4,9.6,10.2,16.1,33.3,19,96,36880,18420,National,L,1,NA,531-540,Very High,1272,17,4,NA,NA,NA,15,16,1,4,21
Georgia State University,Atlanta,GA,NA,NA,1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,30114,28772,NA,XL,1,NA,751-800,Very High,1281,24,NA,1,4-year,36360,15,15,1,4,11
Loyola University Chicago,Chicago,IL,NA,NA,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,47498,11612,NA,L,4,NA,801-1000,High,1297,12,3,NA,NA,NA,16,16,2,5,11
