bank,min,white,himin,hiwhite
HARRIS_TRUST,20.9,3.7,21.4,2.2
NCNB_TEXAS,23.23,5.5,8,8
CRESTAR,23.1,6.7,11.3,3.6
MERCANTILE,30.4,9,17.3,5.5
FIRST_NB_COMMERCE,42.7,13.9,38,7.6
TEXAS_COMMERCE,62.2,20.6,33.3,10.3
COMERICA,39.5,13.4,33.6,9.4
FIRST_OF_AMERICA,38.4,13.2,29.5,7.3
BOATMANS,26.2,9.3,21.7,7.4
1ST_COMM,55.9,21,39.1,15.8
PROVIDENT,49.7,20.1,36.6,15.3
WORTHEN,44.6,19.1,28.6,10.1
HIBERNIA,36.4,16,32.9,9.2
SOVRON,32,16,21,13
BELL_FEDERAL,10.6,5.6,5.8,4.2
SEC_PAC,34.3,18.4,24.2,14.1
CORE_STATES,42.3,23.3,38.3,15
CITIBANK,26.5,15.6,27.3,16.1
MFERS_HANOVER,51.5,32.4,41.3,25.1
CHEMICAL,47.2,29.7,41.1,26.8
