university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
"University of California, Santa Cruz",Santa Cruz,CA,5060,64465,13,0.06,2130,2130,NA,NA,NA,101-150,101,301-400,47-58,NA,public,NA,National,NA,NA,NA,L,1045,18,Very High,0,40.6,29.5,29.9,38.7,0,NA,NA,NA,31.4
University of Texas - Dallas,Richardson,TX,3969,113347,29,NA,8475,4828,8475,NA,NA,NA,NA,401-500,NA,NA,public,NA,NA,NA,NA,NA,L,1140,22,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8
University of Delaware,Newark,DE,NA,NA,NA,0.05,2337,2337,NA,36880,very competitive plus,201-300,201,NA,70-95,96,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1272,17,Very High,16.1,9.6,10.4,33.3,19,10.2,18420,NA,NA,NA
Georgia State University,Atlanta,GA,3549,472522,133,NA,1756,1756,NA,30114,NA,NA,NA,NA,NA,243,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1281,24,Very High,NA,NA,NA,NA,NA,NA,28772,36360,NA,NA
University of Connecticut,Storrs,CT,NA,NA,NA,0.08,3765,3765,NA,41192,highly competitive,301-400,301,301-400,96-117,66,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,1328,19,Very High,0,0,12.5,37.8,14.5,11.4,18917,NA,NA,29.6
Kansas State University,Manhattan,KS,2931,54983,19,NA,1481,1481,NA,26342,NA,401-500,401,801-1000,118-139,165,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1371,14,Very High,0,0,12.3,31.4,17.7,0,16257,NA,NA,NA
Oklahoma State University,Stillwater,NA,NA,NA,NA,NA,1617,1617,NA,24539,NA,401-500,401,801-1000,118-139,187,public,NA,NA,NA,NA,NA,L,1484,14,Medium High,0,9.6,4.9,30.2,16.6,0,20307,NA,NA,NA
University of Vermont,Burlington,VT,NA,NA,NA,NA,546,546,NA,43890,NA,301-400,301,601-800,96-117,121,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1485,8,Medium High,0,9.6,10.3,27.7,15.7,13.4,11136,NA,NA,NA
Louisiana State University,Baton Rouge,NA,NA,NA,NA,NA,1315,1315,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,XL,1490,21,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of California, Riverside",Riverside,NA,NA,NA,NA,NA,2034,2034,NA,NA,NA,151-200,151,401-500,59-69,NA,public,NA,NA,NA,NA,NA,L,1497,17,Very High,0,27.1,16.7,35.5,25.7,12.4,NA,NA,NA,27.9
Auburn University,Auburn,AL,1087,63118,58,NA,2283,2283,NA,31956,NA,NA,NA,801-1000,NA,99,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1507,18,Very High,NA,NA,NA,NA,NA,NA,24505,30737,NA,NA
University at Buffalo SUNY,Buffalo,NY,6362,256902,40,0.13,6161,4409,6161,28194,NA,NA,NA,301-400,NA,94,public,NA,National,NA,NA,NA,L,1530,19,Very High,NA,NA,NA,NA,NA,NA,22306,NA,NA,28.7
Indiana University–Purdue University Indianapolis,Indianapolis,NA,NA,NA,NA,NA,1104,1104,NA,NA,NA,NA,NA,801-1000,NA,NA,public,NA,NA,NA,NA,NA,L,1540,15,Medium High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson University,Clemson,SC,NA,NA,NA,NA,1418,1418,NA,37712,highly competitive,NA,NA,801-1000,NA,76,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,suburb,L,1558,15,Very High,NA,NA,NA,NA,NA,NA,20868,NA,NA,NA
University of Oregon,Eugene,OR,3810,166575,44,0.09,1740,1740,NA,39308,NA,301-400,301,601-800,96-117,101,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,L,1583,13,Very High,0,9.6,11.6,28.4,18.2,8.8,18045,NA,NA,NA
University of Hawaiʻi at Mānoa,Honolulu,NA,NA,NA,NA,NA,1586,1586,NA,NA,NA,NA,NA,301-400,NA,NA,public,NA,NA,NA,NA,NA,L,1640,9,Very High,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1
Iowa State University,Ames,IA,2734,66191,24,NA,2441,2441,NA,NA,NA,201-300,201,401-500,70-95,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,1656,17,Very High,0,23.5,9.1,42,20.6,0,NA,31822,NA,24.1
The University of Alabama,Tuscaloosa,AL,1653,99543,60,NA,1283,1283,NA,NA,NA,NA,NA,801-1000,NA,NA,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1694,20,Very High,NA,NA,NA,NA,NA,NA,NA,37840,NA,NA
University of Houston,Houston,TX,3842,2303482,600,NA,3049,3049,NA,27110,NA,201-300,201,601-800,70-95,183,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1702,22,Very High,0,13.5,12,40.1,21.5,0,39165,47090,NA,NA
University of Oklahoma,Norman,NA,NA,NA,NA,NA,1418,1418,NA,25116,NA,NA,NA,601-800,NA,135,public,NA,NA,NA,NA,NA,L,1709,14,Very High,NA,NA,NA,NA,NA,NA,21383,NA,NA,NA
Texas Tech University,Lubbock,TX,2063,252506,122,NA,2196,2196,NA,24092,NA,401-500,401,801-1000,118-139,220,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,1772,19,Medium High,0,9.6,7,34.4,16.4,0,33269,40322,NA,NA
Washington State University,Pullman,WA,NA,NA,NA,NA,1731,1731,NA,27733,NA,301-400,301,401-500,96-117,186,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,town or rural,L,1935,14,Very High,0,9.6,8.5,33.1,18.2,0,25470,31159,NA,27
University of Nebraska - Lincoln,Lincoln,NE,3146,280364,89,0.05,2805,2805,NA,NA,NA,201-300,201,501-600,70-95,NA,public,NA,National,NA,NA,NA,L,1953,12,Very High,0,19.2,12.3,37.4,21,16.8,NA,NA,NA,NA
George Mason University,Fairfax,VA,NA,NA,NA,0.05,2737,2737,NA,36579,NA,201-300,201,801-1000,70-95,151,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,suburb,L,2011,15,Very High,31.5,0,6.1,29.5,19.4,0,27105,38541,NA,NA
